날짜,순위,이전순위,이름,성,출생일,국적,소속,직책,전문분야,대표업적,Wikipedia,공식홈페이지,SNS,연구점수,사업점수,AGI점수,재산점수,평균점수
2026-09-21,1,1,Elon,Musk,1971-06-28,South Africa/US/Canada,SpaceX / xAI,CEO,"AGI, robotics, infrastructure","xAI–SpaceX merger (~$1.7T IPO), Grok, Tesla Optimus, Forbes #1 (~$908B)",https://en.wikipedia.org/wiki/Elon_Musk,https://x.ai,https://x.com/elonmusk,82,99,96,100,94.25
2026-09-21,2,2,Dario,Amodei,1983,US,Anthropic,Co-founder & CEO,"AI safety, frontier models","Claude series, Constitutional AI, 'We Must Pace the Frontier', ~$965B val",https://en.wikipedia.org/wiki/Dario_Amodei,https://www.anthropic.com,https://x.com/DarioAmodei,90,93,98,72,88.25
2026-09-21,3,3,Jensen,Huang,1963-02-17,Taiwan/US,NVIDIA,"Founder, President & CEO","AI semiconductors, infrastructure","Dominant GPU/CUDA for AI training/inference, ~$5T market cap era, Vera Rubin",https://en.wikipedia.org/wiki/Jensen_Huang,https://www.nvidia.com,https://x.com/nvidia,80,100,72,97,87.25
2026-09-21,4,5,Mark,Zuckerberg,1984-05-14,US,Meta,"Founder, Chairman & CEO","Open-weight LLM, social AI","Llama open-source strategy, Meta Superintelligence Labs, billions of daily users",https://en.wikipedia.org/wiki/Mark_Zuckerberg,https://about.meta.com,https://www.instagram.com/zuck,76,94,80,95,86.25
2026-09-21,5,4,Demis,Hassabis,1976-07-27,UK,Alphabet / Google DeepMind / Isomorphic Labs,"Chair of DeepMind, Chief Scientist Alphabet, CEO Isomorphic","AGI research, scientific AI","AlphaFold Nobel Chemistry 2024, Gemini, AGI roadmaps, Pace the Frontier support",https://en.wikipedia.org/wiki/Demis_Hassabis,https://deepmind.google,https://x.com/demishassabis,98,88,97,62,86.25
2026-09-21,6,6,Ilya,Sutskever,1986-12-08,Israel/Canada,Safe Superintelligence (SSI),Co-founder & CEO,"Superintelligence, alignment","AlexNet co-author, OpenAI co-founder/chief scientist, SSI ($32B+), NVIDIA partnership",https://en.wikipedia.org/wiki/Ilya_Sutskever,https://ssi.inc,https://x.com/ilyasut,97,75,99,72,85.75
2026-09-21,7,7,Daniela,Amodei,1987,US,Anthropic,Co-founder & President,"AI safety governance, scaling","Anthropic co-founder, safety-first growth, TIME100 AI 2026, Forbes 400 newcomer ~$15.5B",https://en.wikipedia.org/wiki/Daniela_Amodei,https://www.anthropic.com,-,82,90,94,72,84.5
2026-09-21,8,8,Greg,Brockman,1987-11-29,US,OpenAI,President & Co-founder,Frontier research infrastructure,"OpenAI co-founder, TIME100 AI 2026, Forbes 400 (~$25.5B stake)",https://en.wikipedia.org/wiki/Greg_Brockman,https://openai.com,https://x.com/gdb,84,88,86,80,84.5
2026-09-21,9,9,Sam,Altman,1985-04-22,US,OpenAI,CEO,"Frontier LLM, productization","ChatGPT mainstreaming, GPT series, OpenAI ~$850B+, TIME100 AI 2026 leader",https://en.wikipedia.org/wiki/Sam_Altman,https://openai.com,https://x.com/sama,78,97,92,68,83.75
2026-09-21,10,10,Jeff,Bezos,1964-01-12,US,Amazon / Prometheus,Founder; Co-CEO Prometheus,"Cloud, new AGI lab","AWS infrastructure, Prometheus co-founder (TIME100 AI 2026), Forbes #2 (~$378B)",https://en.wikipedia.org/wiki/Jeff_Bezos,https://www.amazon.com,-,60,92,78,98,82
2026-09-21,11,11,Satya,Nadella,1967-08-19,India/US,Microsoft,Chairman & CEO,"Enterprise AI, cloud","OpenAI strategic partnership, Azure AI, Copilot across products",https://en.wikipedia.org/wiki/Satya_Nadella,https://www.microsoft.com,https://x.com/satyanadella,70,96,68,90,81
2026-09-21,12,12,Sundar,Pichai,1972-06-10,India/US,Alphabet / Google,CEO,"Search, on-device, frontier AI","Gemini productization, TPU, DeepMind integration",https://en.wikipedia.org/wiki/Sundar_Pichai,https://abc.xyz,https://x.com/sundarpichai,72,95,74,80,80.25
2026-09-21,13,13,Liang,Wenfeng,1985,China,DeepSeek,Founder & CEO,"Open-source frontier, AGI","DeepSeek-R1, low-cost high-performance, ~$50B+, AGI-first philosophy",https://en.wikipedia.org/wiki/Liang_Wenfeng,https://www.deepseek.com,-,92,80,93,55,80
2026-09-21,14,14,Mira,Murati,1988-12-16,Albania/US,Thinking Machines Lab,Co-founder & CEO,"Customizable models, safety","Former OpenAI CTO, $2B seed (record), Tinker/Inkling, TIME100 AI 2026",https://en.wikipedia.org/wiki/Mira_Murati,https://thinkingmachines.ai,https://x.com/miramurati,85,82,88,58,78.25
2026-09-21,15,-,Jack,Clark,c.1980s,New Zealand/US,Anthropic,Co-founder; Head of Policy,"AI policy, safety","Anthropic co-founder, policy leadership, Forbes 400 newcomer",-,https://www.anthropic.com,-,75,70,90,70,76.25
2026-09-21,16,15,Larry,Ellison,1944-08-17,US,Oracle,CTO & Executive Chairman,"Enterprise DB, AI cloud","Oracle AI cloud expansion, Stargate-related infra, Forbes ~$204B",https://en.wikipedia.org/wiki/Larry_Ellison,https://www.oracle.com,-,55,90,60,96,75.25
2026-09-21,17,16,Mark,Chen,c.1980s,US,OpenAI,Chief Research Officer,Frontier research,"OpenAI CRO, TIME100 AI 2026 (with Altman & Brockman)",https://en.wikipedia.org/wiki/OpenAI,https://openai.com,-,90,80,85,40,73.75
2026-09-21,18,19,Yann,LeCun,1960-07-08,France/US,AMI Labs / NYU,Founder AMI Labs; Professor,"Deep learning, world models","CNN pioneer, Turing Award, left Meta 2025, $1B+ AMI Labs for JEPA world models",https://en.wikipedia.org/wiki/Yann_LeCun,https://yann.lecun.com,https://x.com/ylecun,99,65,82,48,73.5
2026-09-21,19,17,Mustafa,Suleyman,1984-08-01,UK,Microsoft AI,"CEO, Microsoft AI","Consumer/product AI, governance","DeepMind co-founder, Inflection, Microsoft AI lead, The Coming Wave",https://en.wikipedia.org/wiki/Mustafa_Suleyman,https://www.microsoft.com,https://x.com/mustafasuleyman,80,78,84,50,73
2026-09-21,20,18,Fei-Fei,Li,1976-07-03,China/US,Stanford / World Labs,Professor; Co-founder World Labs,"Computer vision, spatial intelligence","ImageNet, Human-Centered AI, World Labs spatial AI",https://en.wikipedia.org/wiki/Fei-Fei_Li,https://profiles.stanford.edu/fei-fei-li,https://x.com/drfeifei,96,70,75,50,72.75
2026-09-21,21,20,Yang,Zhilin,1993,China,Moonshot AI,Co-founder & CEO,"Long-context LLM, China frontier","Kimi models, TIME100 AI 2026 Innovator, multi-billion valuation",https://en.wikipedia.org/wiki/Moonshot_AI,https://www.moonshot.cn,-,84,76,80,48,72
2026-09-21,22,21,Eddie,Wu,1970s,China,Alibaba Group,CEO,China Big Tech AI,"Alibaba AI strategy, Qwen series, TIME100 AI 2026",https://en.wikipedia.org/wiki/Eddie_Wu,https://www.alibabagroup.com,-,62,88,55,75,70
2026-09-21,23,22,Arvind,Krishna,1962,India/US,IBM,Chairman & CEO,"Enterprise, specialized small AI","watsonx, specialized small models, TIME100 AI 2026 Leader",https://en.wikipedia.org/wiki/Arvind_Krishna,https://www.ibm.com,https://x.com/ArvindKrishna,68,86,58,65,69.25
2026-09-21,24,23,Yoshua,Bengio,1964-03-05,Canada,Mila / Université de Montréal / LawZero,Scientific Director; Founder LawZero,"Deep learning, AI safety policy","Turing Award, scientific safety research, international governance",https://en.wikipedia.org/wiki/Yoshua_Bengio,https://yoshuabengio.org,https://x.com/Yoshua_Bengio,98,45,92,42,69.25
2026-09-21,25,24,Geoffrey,Hinton,1947-12-06,UK/Canada,University of Toronto (emeritus),Professor Emeritus; AI safety advocate,"Deep learning foundations, AI risk","2018 Turing, 2024 Nobel Physics, 'Godfather of AI', risk warnings",https://en.wikipedia.org/wiki/Geoffrey_Hinton,https://www.cs.toronto.edu/~hinton/,-,100,40,90,45,68.75
2026-09-21,26,25,Andrew,Ng,1976-04-18,UK/US,Landing AI / DeepLearning.AI / Coursera,Founder,"AI education, industry application","Coursera/Stanford ML, Google Brain co-founder, enterprise AI adoption",https://en.wikipedia.org/wiki/Andrew_Ng,https://www.andrewng.org,https://x.com/AndrewYNg,88,72,60,52,68
2026-09-21,27,-,Alexandr,Wang,1997,US,Meta (ex-Scale AI),AI infra / Meta role,"Data labeling, AI infrastructure","Scale AI founder (sold/valued high), Meta AI infra influence",https://en.wikipedia.org/wiki/Alexandr_Wang,https://scale.com,-,65,85,50,70,67.5
2026-09-21,28,-,Andrej,Karpathy,1986-10-23,Slovakia/Canada,Anthropic / Eureka,Research lead (ex),"Vision, pre-training, education","Tesla AI, OpenAI founding, Eureka Labs, Anthropic pre-training",https://en.wikipedia.org/wiki/Andrej_Karpathy,-,https://x.com/karpathy,92,55,80,40,66.75
2026-09-21,29,26,Ali,Ghodsi,1978,Iran/Sweden/US,Databricks,Co-founder & CEO,"Data, lakehouse AI","Databricks enterprise AI platform, TIME100 AI 2026",https://en.wikipedia.org/wiki/Ali_Ghodsi,https://www.databricks.com,https://x.com/alig,70,84,50,62,66.5
2026-09-21,30,-,Kai-Fu,Lee,1961-12-03,Taiwan/China,Sinovation Ventures,Chairman & CEO,"China-US AI bridge, investment","AI Superpowers author, Sinovation, major China AI investor/voice",https://en.wikipedia.org/wiki/Kai-Fu_Lee,https://www.sinovationventures.com,-,70,80,55,60,66.25
2026-09-21,31,-,Shane,Legg,c.1970s,New Zealand/UK,Google DeepMind,Co-founder; AGI implications,"AGI theory, DeepMind Institute","DeepMind co-founder, AGI probability estimates, DeepMind Institute launch",https://en.wikipedia.org/wiki/Shane_Legg,https://deepmind.google,-,90,50,95,30,66.25
2026-09-21,32,-,Arthur,Mensch,c.1990s,France,Mistral AI,Co-founder & CEO,European frontier models,"Mistral open models, Europe's leading frontier lab",https://en.wikipedia.org/wiki/Mistral_AI,https://mistral.ai,-,78,75,70,40,65.75
2026-09-21,33,-,Michael,Dell,1965-02-23,US,Dell Technologies,Founder & CEO,"AI servers, data center hardware","Massive AI server revenue growth, Forbes top 5",https://en.wikipedia.org/wiki/Michael_Dell,https://www.dell.com,-,40,90,35,97,65.5
2026-09-21,34,27,Joëlle,Pineau,1974,Canada,Cohere,Chief AI Officer,"Reinforcement learning, enterprise LLM","Former Meta FAIR, Cohere CAIO, TIME100 AI 2026",https://en.wikipedia.org/wiki/Joelle_Pineau,https://cohere.com,-,86,72,65,35,64.5
2026-09-21,35,28,Sanjay,Mehrotra,1958,India/US,Micron Technology,"Chairman, President & CEO","HBM, AI memory","AI data center HBM supply, TIME100 AI 2026",https://en.wikipedia.org/wiki/Sanjay_Mehrotra,https://www.micron.com,-,55,85,40,70,62.5
2026-09-21,36,-,Zhang,Peng,c.1980s,China,Zhipu AI (Z.ai),CEO,"China open models, GLM","First publicly listed LLM co (HKEX), GLM family",-,https://www.zhipuai.cn,-,80,70,65,35,62.5
2026-09-21,37,-,Cristiano,Amon,c.1970s,Brazil/US,Qualcomm,CEO & President,"Edge/on-device AI, auto","Snapdragon AI platforms, vehicle AI dominance",https://en.wikipedia.org/wiki/Cristiano_Amon,https://www.qualcomm.com,-,55,88,40,65,62
2026-09-21,38,29,Lila,Ibrahim,1975,US,Google DeepMind,Chief AI Readiness Officer,"AI readiness, governance","DeepMind ops & readiness, TIME100 AI 2026 Leader",https://en.wikipedia.org/wiki/Lila_Ibrahim,https://deepmind.google,-,60,74,72,38,61
2026-09-21,39,-,Oriol,Vinyals,c.1980s,Spain,Google DeepMind,Principal Scientist,"Sequence models, AlphaStar","Transformer contributions, game AI, DeepMind research leadership",https://en.wikipedia.org/wiki/Oriol_Vinyals,https://deepmind.google,-,92,40,80,30,60.5
2026-09-21,40,30,Anima,Anandkumar,1982,India/US,Caltech,Bren Professor,"Scientific AI, tensor/physics models","Physics simulation acceleration, TIME100 AI 2026 Innovator",https://en.wikipedia.org/wiki/Anima_Anandkumar,https://animacentrum.com,https://x.com/AnimaAnandkumar,93,48,70,30,60.25
2026-09-21,41,-,He,Tingbo,c.1960s,China,Huawei,Director (AI/chip related),"China AI chips, Ascend","Huawei AI hardware strategy, TIME100 AI 2026",-,https://www.huawei.com,-,70,80,50,40,60
2026-09-21,42,-,Raia,Hadsell,c.1970s,US/UK,Google DeepMind,VP Research,"Robotics, continual learning","DeepMind robotics, lifelong learning research",-,https://deepmind.google,-,90,45,75,30,60
2026-09-21,43,-,Noam,Brown,c.1990s,US,OpenAI,Researcher,"Multi-agent, reasoning","Diplomacy AI, o1/reasoning models contributions",-,https://openai.com,-,88,40,85,25,59.5
2026-09-21,44,-,Stuart,Russell,1962,UK/US,UC Berkeley,Professor,"AI safety, rational agents","AIMA textbook, AI safety advocacy, beneficial AI",https://en.wikipedia.org/wiki/Stuart_J._Russell,https://people.eecs.berkeley.edu/~russell/,-,95,30,88,25,59.5
2026-09-21,45,-,Sarah,Friar,c.1970s,Ireland/US,OpenAI,CFO,"AI capital, infrastructure financing","Largest private raises for OpenAI ($122B+), data center buildout",-,https://openai.com,-,40,92,45,45,55.5
2026-09-21,46,-,Emad,Mostaque,c.1980s,UK,Stability AI (ex) / others,Founder (ex),Open generative models,"Stable Diffusion popularization, open AI movement",https://en.wikipedia.org/wiki/Emad_Mostaque,-,-,60,70,55,35,55
2026-09-21,47,-,Gary,Marcus,1970,US,Independent / Geometric Intelligence (ex),Professor; critic,"Cognitive science, AI skepticism","Influential critic of deep learning scaling, hybrid AI advocate",https://en.wikipedia.org/wiki/Gary_Marcus,-,https://x.com/GaryMarcus,75,40,60,25,50
2026-09-21,48,-,Timnit,Gebru,1983,Ethiopia/US,DAIR,Founder,"AI ethics, bias","Algorithmic bias research, DAIR institute, influential critic",https://en.wikipedia.org/wiki/Timnit_Gebru,https://www.dair-institute.org,-,85,40,50,20,48.75
2026-09-21,49,-,Allie,K. Miller,c.1990s,US,Independent / a16z alumni,"AI advisor, influencer","Enterprise AI adoption, education","High-profile AI influencer, former Amazon AI, business education",-,-,https://x.com/alliekmiller,50,65,40,30,46.25
2026-09-21,50,-,Kate,Crawford,c.1970s,Australia/US,USC / Microsoft Research,Research Professor,"AI ethics, society","Atlas of AI, critical AI studies, TIME lists influence",https://en.wikipedia.org/wiki/Kate_Crawford,-,-,80,35,45,25,46.25
